Date,Client,Setter,Notes
2023-05-01,Beauty Spa Plus,John Smith,First time client consultation
2023-05-01,Wellness Center,Maria Garcia,Follow-up appointment
2023-05-02,Beauty Spa Plus,Lisa Johnson,Package review meeting
2023-05-02,Wellness Center,John Smith,Service demonstration
2023-05-03,Beauty Spa Plus,Maria Garcia,Regular maintenance
2023-05-03,Zen Spa,Lisa Johnson,Initial consultation
2023-05-04,Wellness Center,John Smith,Special treatment session
2023-05-04,Beauty Spa Plus,Maria Garcia,Package upgrade discussion
2023-05-05,Zen Spa,Lisa Johnson,Service review
2023-05-05,Wellness Center,John Smith,Maintenance appointment
